algorithm,descriptors,training_set,word_embedding,MRR
custom,atm,googleplay,wm,0.795891209
custom,union,standard,wm,0.776087053
custom,craftdroid,googleplay,wm,0.77049275
atm,atm,blogs,wm,0.765481182
custom,atm,standard,nnlm,0.76135351
custom,union,standard,nnlm,0.758780152
custom,intersection,android,wm,0.753000643
custom,atm,googleplay,w2v,0.749527218
custom,union,empty,jaccard,0.746854179
atm,atm,android,glove,0.743761527
custom,atm,android,fast,0.742275097
custom,atm,empty,jaccard,0.738217364
custom,intersection,blogs,wm,0.737152236
craftdroid,atm,googleplay,w2v,0.734973379
craftdroid,intersection,googleplay,wm,0.734073045
atm,atm,blogs,glove,0.731905447
custom,atm,blogs,fast,0.730489975
custom,atm,blogs,glove,0.728303551
custom,atm,standard,glove,0.727418581
custom,intersection,android,fast,0.726392231
custom,union,android,fast,0.725177057
atm,atm,empty,edit_distance,0.724195261
custom,intersection,empty,edit_distance,0.722191016
atm,intersection,standard,w2v,0.719731927
custom,craftdroid,android,glove,0.718520569
craftdroid,atm,android,fast,0.717181126
atm,atm,standard,bert,0.716390687
custom,intersection,android,w2v,0.715307536
craftdroid,atm,standard,fast,0.7144792
craftdroid,intersection,blogs,glove,0.712780967
atm,union,googleplay,wm,0.711545005
custom,craftdroid,blogs,fast,0.709648006
craftdroid,intersection,standard,glove,0.708067001
atm,intersection,googleplay,fast,0.706564102
atm,intersection,googleplay,w2v,0.705131524
atm,craftdroid,standard,nnlm,0.703984045
craftdroid,intersection,blogs,wm,0.702863533
custom,intersection,standard,bert,0.702102583
craftdroid,atm,googleplay,glove,0.699433463
craftdroid,union,standard,use,0.69864767
craftdroid,atm,blogs,fast,0.696524909
craftdroid,craftdroid,googleplay,wm,0.6958901
craftdroid,intersection,empty,edit_distance,0.692252605
craftdroid,craftdroid,standard,use,0.690365184
craftdroid,union,android,wm,0.687914653
craftdroid,union,googleplay,w2v,0.686948618
atm,atm,android,w2v,0.683585742
craftdroid,union,standard,glove,0.680979207
atm,union,empty,jaccard,0.677339866
craftdroid,craftdroid,standard,w2v,0.675963828
craftdroid,atm,empty,jaccard,0.672377942
craftdroid,union,standard,fast,0.669310221
craftdroid,union,android,glove,0.666195433
craftdroid,craftdroid,standard,fast,0.662329862
craftdroid,craftdroid,android,glove,0.659195893
atm,union,standard,bert,0.655497556
craftdroid,union,empty,edit_distance,0.651155247
atm,union,standard,w2v,0.644601896
atm,union,googleplay,glove,0.6370872
atm,craftdroid,googleplay,fast,0.630133322
atm,union,googleplay,fast,0.623817458
atm,craftdroid,blogs,fast,0.618721699
atm,union,blogs,w2v,0.608454662
atm,craftdroid,empty,edit_distance,0.6002352
